77,95,15
44,70,3
15,85,8
67,31,7
75,100,23
91,1,6
2,7,1
46,53,8
16,35,2
68,11,5
35,64,1
53,26,8
84,4,21
85,34,4
100,36,5
43,22,7
30,27,2
24,66,6
17,61,8
54,40,1
10,12,4
4,21,9
32,72,4
66,83,2
49,24,1
60,84,9
74,67,3
57,56,7
45,37,2
18,15,7
62,52,6
79,74,3
55,43,2
11,18,4
86,71,5
64,28,5
78,20,9
37,99,10
81,46,2
22,32,3
19,54,8
26,78,6
38,62,45
52,76,12
72,63,7
20,90,9
23,17,4
47,86,6
59,68,7
82,82,1
27,92,1
28,55,3
25,38,9
29,75,4
96,19,5
83,14,4
31,60,3
13,87,1
51,94,9
40,49,8
58,33,4
70,29,6
92,10,2
88,23,7
8,73,9
1,41,6
71,13,4
36,44,6
